ID,country,hours,male,divorcerate,taxrate
1,Austria,845.3,0,5.9,0.3140000104904175
2,Belgium,683.5,0,6.22,0.4300000071525574
3,Denmark,1031.5,0,6.75,0.4269999861717224
4,Finland,1025.5,0,6.8,0.32899999618530273
5,France,765,0,4.7,0.29499998688697815
6,Germany,728.1,0,4.92,0.4339999854564667
7,Greece,804.4,0,2.02,0.16500000655651093
8,Ireland,746.2,0,2,0.23000000417232513
9,Italy,654.6,0,1.6,0.2709999978542328
10,Luxembourg,696,0,5.05,0.27300000190734863
11,Netherlands,648.2,0,5.25,0.3050000071525574
12,Norway,896.6,0,6.1,0.3140000104904175
13,Portugal,959.8,0,3.5,0.21299999952316284
14,Spain,650.4,0,2.08,0.20100000500679016
15,Sweden,1053.9,0,6.72,0.3240000009536743
16,Switzerland,951.9,0,4.65,0.2460000067949295
17,UK,906.6,0,6.29,0.2549999952316284
18,United States,1121.3,0,9.25,0.24799999594688416
