id,year,rdi4,vote,demcand,repcand,reelection
1,1948,3.45099,52.3256,Truman,Dewey,1
2,1952,1.4707299,44.6231,Stevenson,Eisenhower,0
3,1956,2.9784601,57.746498,Stevenson,Eisenhower,1
4,1960,.57456201,49.8992,Kennedy,Nixon,0
5,1964,5.5755701,61.345402,Johnson,Goldwater,1
6,1968,3.46014,49.593498,Humphrey,Nixon,0
7,1972,3.6558299,61.812599,McGovern,Nixon,1
8,1976,2.93891,48.929699,Carter,Ford,1
9,1980,-.201277,44.710999,Carter,Reagan,1
10,1984,6.0352898,59.1549,Mondale,Reagan,1
11,1988,3.3179801,53.9394,Dukakis,Bush,0
12,1992,2.13046,46.517399,Clinton,Bush,1
13,1996,2.0754001,54.8955,Clinton,Dole,1
14,2000,3.8547201,50.2649,Gore,Bush,0
15,2004,2.4354999,51.244099,Kerry,Bush,1
16,2008,-.59694999,46.3489,Obama,McCain,0
17,2012,2.170773,51.427979,Obama,Romney,1
